State,Academic Performance Rank,Safety Rank,Community Rank,Academic Investment Rank,Class Size and Attendence Rank,Overall Rank
New Jersey,2,2,7,6,12,1
Massachusetts,1,15,4,23,10,2
Connecticut,3,22,3,28,7,3
Minnesota,9,3,13,26,8,4
Wisconsin,4,17,17,25,38,5
Virginia,5,18,14,29,40,6
Maryland,8,35,8,14,26,7
Illinois,7,19,15,42,30,8
New York,14,10,6,37,9,9
Utah,11,12,22,11,22,10
New Hampshire,10,37,5,17,11,11
Vermont,6,45,2,34,48,12
Pennsylvania,15,32,18,1,34,13
Rhode Island,30,1,12,18,42,14
California,34,9,19,3,2,15
Colorado,13,29,9,40,18,16
District of Columbia,38,13,1,31,4,17
Georgia,31,20,26,7,5,18
Kentucky,12,41,50,5,24,19
Kansas,26,26,21,20,25,20
Hawaii,36,5,29,43,3,21
Delaware,25,28,10,41,13,22
Iowa,19,42,20,16,39,23
Ohio,17,43,33,8,46,24
Florida,27,24,31,19,29,25
Missouri,16,34,35,45,15,26
Arkansas,24,40,44,4,16,27
Texas,28,11,41,27,32,28
Indiana,21,14,39,49,14,29
North Dakota,40,16,30,10,28,30
Maine,29,25,11,47,41,31
Nebraska,23,33,24,39,43,32
North Carolina,20,30,36,46,27,33
South Dakota,37,21,32,33,31,34
Washington,35,36,27,12,44,35
Michigan,32,48,16,15,6,36
Montana,22,51,23,13,35,37
Arizona,45,8,47,35,20,38
Tennessee,18,38,49,51,49,39
Oklahoma,47,6,40,22,37,40
Alabama,39,49,43,9,1,41
Nevada,43,7,51,36,21,42
Wyoming,33,46,34,30,51,43
West Virginia,46,4,48,24,50,44
Alaska,49,31,28,2,23,45
Oregon,44,27,25,38,45,46
Idaho,42,39,42,32,17,47
Louisiana,48,23,46,21,19,48
South Carolina,41,44,38,48,36,49
Mississippi,50,50,37,50,33,50
New Mexico,51,47,45,44,47,51
